id,benefits,resources,mhd,coworker_chat,support_options,age,sex,race
122,Don't know,,,,Yes,25.0,Male,
123,Don't know,,,,Yes,33.0,Male,
124,Yes,,,,No,36.0,Male,
125,Yes,,,,No,27.0,Male,
126,Yes,,,,No,27.0,Male,
127,No,,,,No,27.0,Male,
128,Yes,,,,No,32.0,Male,
129,No,,,,No,31.0,Male,
130,Don't know,,,,No,19.0,Male,
131,Yes,,,,No,33.0,Male,
132,No,,,,Yes,32.0,Male,
133,Don't know,,,,No,27.0,Male,
134,No,,,,Yes,38.0,Male,
135,Don't know,,,,No,24.0,Male,
136,No,,,,No,39.0,Male,
137,Don't know,,,,No,28.0,Male,
138,Yes,,,,No,39.0,Male,
139,Don't know,,,,No,29.0,Female,
140,Don't know,,,,Yes,22.0,Male,
141,Don't know,,,,No,38.0,Male,
142,No,,,,No,37.0,Male,
143,Don't know,,,,Yes,35.0,Male,
144,Yes,,,,Yes,29.0,Male,
145,Don't know,,,,Yes,30.0,Female,
146,Yes,,,,No,37.0,Male,
147,No,,,,No,24.0,Male,
148,No,,,,No,23.0,Male,
149,No,,,,No,30.0,Male,
150,Don't know,,,,Yes,29.0,Female,
151,Don't know,,,,Yes,19.0,Male,
152,Don't know,,,,No,32.0,Male,
153,No,,,,Yes,28.0,Male,
154,Don't know,,,,No,36.0,Male,
155,Yes,,,,No,37.0,Male,
156,Don't know,,,,No,25.0,Male,
157,Don't know,,,,No,27.0,Male,
158,Don't know,,,,No,26.0,Male,
159,No,,,,Yes,27.0,Male,
160,Don't know,,,,No,25.0,Male,
161,Yes,,,,No,36.0,Male,
162,Yes,,,,No,25.0,Female,
163,Yes,,,,No,31.0,Male,
164,Don't know,,,,No,26.0,Male,
165,No,,,,No,33.0,Female,
166,No,,,,Yes,27.0,Female,
167,No,,,,No,34.0,Male,
168,No,,,,No,42.0,Male,
169,No,,,,No,23.0,Male,
170,Don't know,,,,No,24.0,Male,
171,Yes,,,,No,26.0,Male,
172,Don't know,,,,No,31.0,Male,
173,Don't know,,,,No,22.0,Male,
174,Don't know,,,,No,23.0,Female,
175,Yes,,,,No,34.0,Female,
176,Don't know,,,,No,31.0,Male,
177,No,,,,No,28.0,Male,
178,Yes,,,,Yes,32.0,Female,
179,Yes,,,,No,45.0,Female,
180,Don't know,,,,Yes,33.0,Male,
181,No,,,,Yes,29.0,Male,
182,No,,,,No,26.0,Female,
183,Don't know,,,,No,28.0,Female,
184,Don't know,,,,No,45.0,Male,
185,Yes,,,,Yes,43.0,Male,
186,Yes,,,,Yes,37.0,Male,
187,Don't know,,,,No,24.0,Male,
188,No,,,,Yes,26.0,Male,
189,Don't know,,,,Yes,23.0,Male,
190,Yes,,,,No,35.0,Female,
191,No,,,,Yes,38.0,Female,
192,Yes,,,,No,28.0,Male,
193,No,,,,No,28.0,Male,
194,No,,,,No,35.0,Male,
195,No,,,,No,32.0,Female,
196,No,,,,No,31.0,Male,
197,Don't know,,,,Yes,35.0,Female,
198,Yes,,,,No,26.0,Male,
199,Yes,,,,Yes,27.0,Male,
200,Don't know,,,,No,28.0,Male,
201,Yes,,,,No,27.0,Female,
202,Yes,,,,No,34.0,Female,
203,No,,,,Yes,41.0,Male,
204,No,,,,No,37.0,Male,
205,Don't know,,,,Yes,34.0,Male,
206,Don't know,,,,Yes,32.0,Male,
207,No,,,,Yes,21.0,Male,
208,No,,,,No,30.0,Male,
209,Don't know,,,,No,24.0,Male,
210,No,,,,No,26.0,Male,
211,Yes,,,,No,40.0,Female,
212,No,,,,No,37.0,Male,
213,No,,,,Yes,26.0,Male,
214,Don't know,,,,No,32.0,Female,
215,Yes,,,,No,32.0,Female,
216,No,,,,Yes,27.0,Female,
217,Yes,,,,Yes,30.0,Male,
218,Yes,,,,No,31.0,Male,
219,Yes,,,,No,29.0,Female,
220,Yes,,,,No,41.0,Male,
221,Yes,,,,No,34.0,Female,
222,Don't know,,,,No,33.0,Male,
223,Don't know,,,,No,28.0,Male,
224,No,,,,No,28.0,Male,
225,Don't know,,,,No,23.0,Male,
226,Don't know,,,,No,24.0,Male,
227,No,,,,Yes,32.0,Male,
228,Don't know,,,,Yes,34.0,Male,
229,Yes,,,,No,24.0,Male,
230,No,,,,No,26.0,Male,
231,Yes,,,,No,36.0,Male,
232,Yes,,,,Yes,41.0,Male,
233,Don't know,,,,No,38.0,Male,
234,Don't know,,,,Yes,38.0,Male,
235,Don't know,,,,No,30.0,Male,
236,No,,,,No,25.0,Male,
237,Yes,,,,No,37.0,Male,
238,No,,,,No,34.0,Male,
239,Yes,,,,No,37.0,Female,
240,Yes,,,,No,28.0,Female,
241,Don't know,,,,No,22.0,Male,
242,No,,,,No,34.0,Male,
243,Yes,,,,No,33.0,Male,
244,No,,,,No,25.0,Male,
245,Yes,,,,Yes,27.0,Male,
246,Yes,,,,Yes,40.0,Male,
247,Don't know,,,,No,21.0,Male,
248,No,,,,No,29.0,Male,
249,No,,,,Yes,32.0,Male,
250,Yes,,,,Yes,29.0,Female,
251,Don't know,,,,Yes,23.0,Male,
252,Yes,,,,No,28.0,Male,
253,Yes,,,,Yes,31.0,Male,
254,Don't know,,,,No,27.0,Male,
255,Don't know,,,,No,24.0,Male,
256,No,,,,No,29.0,Male,
257,Don't know,,,,No,23.0,Female,
258,No,,,,Yes,42.0,Male,
259,No,,,,No,24.0,Male,
260,No,,,,No,25.0,Male,
261,Yes,,,,No,27.0,Female,
262,No,,,,Yes,27.0,Male,
263,Yes,,,,Yes,30.0,Male,
264,No,,,,No,29.0,Male,
265,No,,,,Yes,43.0,Male,
266,No,,,,No,32.0,Male,
267,Yes,,,,Yes,41.0,Male,
268,Don't know,,,,Yes,32.0,Male,
269,Yes,,,,No,37.0,Female,
270,No,,,,Yes,32.0,Male,
271,No,,,,Yes,30.0,Male,
272,Yes,,,,No,23.0,Female,
273,Yes,,,,No,30.0,Male,
274,No,,,,No,34.0,Male,
275,Yes,,,,Yes,38.0,Male,
276,Yes,,,,No,33.0,Male,
277,Yes,,,,No,34.0,Male,
278,No,,,,No,28.0,Male,
279,Yes,,,,No,28.0,Male,
280,Don't know,,,,No,23.0,Male,
281,Don't know,,,,Yes,22.0,Male,
282,No,,,,No,27.0,Male,
284,Yes,,,,No,35.0,Male,
285,Don't know,,,,No,25.0,Male,
286,No,,,,No,27.0,Male,
287,Yes,,,,No,26.0,Female,
289,No,,,,No,38.0,Female,
290,Yes,,,,Yes,26.0,Female,
291,No,,,,No,30.0,Male,
292,Don't know,,,,No,35.0,Male,
293,Yes,,,,No,45.0,Male,
294,Yes,,,,No,32.0,Male,
295,Yes,,,,No,56.0,Male,
296,Don't know,,,,No,24.0,Female,
297,Yes,,,,No,30.0,Female,
298,Yes,,,,No,60.0,Male,
299,Yes,,,,No,33.0,Male,
300,Yes,,,,No,37.0,Male,
301,Yes,,,,No,23.0,Female,
302,Yes,,,,No,31.0,Female,
303,Yes,,,,No,26.0,Male,
304,Yes,,,,Yes,28.0,Female,
305,Yes,,,,No,37.0,Female,
306,Yes,,,,No,26.0,Male,
307,Yes,,,,No,30.0,Others,
308,No,,,,No,26.0,Male,
309,Don't know,,,,Yes,25.0,Male,
310,Yes,,,,No,27.0,Male,
311,Don't know,,,,Yes,25.0,Male,
312,Yes,,,,No,35.0,Male,
313,No,,,,No,36.0,Male,
314,Yes,,,,No,26.0,Male,
315,Don't know,,,,No,27.0,Male,
316,Don't know,,,,No,30.0,Male,
317,Don't know,,,,No,29.0,Male,
318,Yes,,,,No,25.0,Male,
319,Yes,,,,No,22.0,Female,
320,No,,,,No,29.0,Male,
321,Yes,,,,Yes,41.0,Male,
322,Yes,,,,No,29.0,Male,
323,Yes,,,,No,32.0,Male,
324,Yes,,,,No,24.0,Female,
325,Yes,,,,No,25.0,Male,
326,Don't know,,,,No,25.0,Male,
327,Yes,,,,No,30.0,Female,
328,Don't know,,,,No,25.0,Male,
329,No,,,,Yes,30.0,Male,
330,No,,,,No,33.0,Male,
331,Yes,,,,No,24.0,Male,
332,Yes,,,,No,25.0,Male,
333,Don't know,,,,No,31.0,Male,
334,No,,,,No,45.0,Male,
335,No,,,,Yes,29.0,Male,
336,Yes,,,,No,46.0,Male,
337,Don't know,,,,No,30.0,Male,
338,Yes,,,,No,29.0,Female,
339,Yes,,,,No,24.0,Male,
340,Yes,,,,No,29.0,Male,
341,Don't know,,,,No,35.0,Male,
342,No,,,,Yes,33.0,Female,
343,Don't know,,,,No,27.0,Male,
344,Don't know,,,,No,36.0,Male,
345,Don't know,,,,Yes,33.0,Male,
346,Yes,,,,No,25.0,Female,
347,Don't know,,,,No,23.0,Male,
348,Don't know,,,,No,54.0,Male,
349,Don't know,,,,No,22.0,Male,
350,Yes,,,,No,25.0,Others,
351,Don't know,,,,No,29.0,Male,
352,Yes,,,,No,27.0,Male,
353,No,,,,No,30.0,Male,
354,Yes,,,,No,26.0,Male,
355,Yes,,,,No,25.0,Female,
356,No,,,,No,31.0,Male,
357,Don't know,,,,No,33.0,Male,
358,Yes,,,,No,34.0,Male,
359,No,,,,Yes,34.0,Male,
360,No,,,,Yes,29.0,Male,
361,No,,,,No,33.0,Female,
362,No,,,,Yes,34.0,Male,
363,No,,,,Yes,26.0,Male,
364,Yes,,,,No,32.0,Male,
366,Don't know,,,,No,28.0,Male,
367,Yes,,,,No,35.0,Male,
368,No,,,,No,36.0,Male,
369,Yes,,,,No,21.0,Male,
370,Don't know,,,,No,21.0,Male,
371,Yes,,,,No,22.0,Female,
372,Yes,,,,No,41.0,Male,
373,Yes,,,,No,55.0,Male,
374,Yes,,,,No,32.0,Female,
375,Don't know,,,,No,21.0,Female,
376,Yes,,,,Yes,45.0,Male,
377,Yes,,,,No,27.0,Female,
378,Don't know,,,,Yes,25.0,Female,
379,Yes,,,,No,34.0,Female,
380,Yes,,,,No,26.0,Female,
381,Yes,,,,No,41.0,Male,
382,Yes,,,,No,27.0,Male,
383,Yes,,,,Yes,31.0,Male,
384,No,,,,Yes,25.0,Male,
385,Don't know,,,,No,26.0,Male,
386,Yes,,,,Yes,27.0,Female,
387,Don't know,,,,No,42.0,Male,
388,Yes,,,,Yes,29.0,Others,
389,Don't know,,,,No,25.0,Female,
390,Yes,,,,No,33.0,Female,
392,Yes,,,,No,40.0,Female,
393,Don't know,,,,No,31.0,Male,
394,Don't know,,,,Yes,26.0,Male,
395,No,,,,No,24.0,Female,
396,Yes,,,,No,29.0,Male,
397,Don't know,,,,No,48.0,Male,
398,No,,,,No,35.0,Male,
399,Don't know,,,,No,32.0,Female,
400,Don't know,,,,No,29.0,Male,
401,Yes,,,,No,26.0,Male,
402,Yes,,,,No,28.0,Male,
403,Don't know,,,,No,23.0,Male,
404,Yes,,,,No,35.0,Male,
405,Don't know,,,,No,29.0,Male,
406,Yes,,,,No,26.0,Male,
407,Yes,,,,Yes,33.0,Male,
408,Don't know,,,,Yes,33.0,Male,
409,Don't know,,,,Yes,22.0,Male,
410,No,,,,No,30.0,Female,
411,Yes,,,,Yes,33.0,Male,
412,Don't know,,,,No,31.0,Female,
413,Don't know,,,,No,21.0,Male,
414,Don't know,,,,No,31.0,Others,
415,Don't know,,,,Yes,26.0,Female,
416,Don't know,,,,No,30.0,Male,
417,Don't know,,,,No,30.0,Others,
418,No,,,,No,23.0,Male,
419,No,,,,No,34.0,Male,
420,No,,,,Yes,55.0,Male,
421,Yes,,,,Yes,28.0,Male,
422,Don't know,,,,Yes,26.0,Male,
423,Yes,,,,Yes,28.0,Male,
424,No,,,,No,32.0,Male,
425,Yes,,,,No,28.0,Female,
426,Don't know,,,,No,21.0,Male,
427,No,,,,No,24.0,Male,
428,Yes,,,,No,26.0,Female,
429,Yes,,,,No,23.0,Male,
430,Yes,,,,No,24.0,Female,
431,Don't know,,,,Yes,28.0,Male,
432,No,,,,No,24.0,Female,
433,No,,,,Yes,33.0,Male,
434,Don't know,,,,No,34.0,Male,
435,Don't know,,,,No,27.0,Female,
436,Don't know,,,,No,28.0,Male,
437,Don't know,,,,No,26.0,Male,
438,Don't know,,,,Yes,20.0,Male,
439,Yes,,,,No,23.0,Female,
440,Yes,,,,Yes,29.0,Male,
441,No,,,,No,26.0,Male,
442,Yes,,,,Yes,36.0,Male,
443,Yes,,,,No,41.0,Male,
444,Yes,,,,Yes,33.0,Female,
445,Yes,,,,No,23.0,Male,
446,Yes,,,,No,39.0,Male,
447,Yes,,,,No,34.0,Male,
448,Yes,,,,No,26.0,Female,
449,Yes,,,,No,24.0,Male,
450,Yes,,,,No,37.0,Male,
451,Yes,,,,Yes,43.0,Male,
452,Yes,,,,No,40.0,Others,
453,Yes,,,,No,30.0,Male,
454,Don't know,,,,No,34.0,Male,
455,Don't know,,,,No,27.0,Male,
456,Don't know,,,,No,36.0,Male,
457,No,,,,No,27.0,Male,
458,Yes,,,,No,35.0,Male,
459,No,,,,No,32.0,Male,
460,Yes,,,,No,37.0,Male,
461,Don't know,,,,No,29.0,Male,
462,Yes,,,,No,33.0,Female,
463,No,,,,Yes,28.0,Male,
464,Don't know,,,,No,26.0,Female,
465,Don't know,,,,Yes,27.0,Male,
466,No,,,,Yes,38.0,Male,
467,Yes,,,,No,57.0,Male,
468,No,,,,No,28.0,Male,
469,No,,,,No,26.0,Male,
470,Yes,,,,Yes,42.0,Female,
471,Yes,,,,Yes,31.0,Male,
472,Yes,,,,No,58.0,Male,
473,Don't know,,,,No,29.0,Male,
474,Yes,,,,No,39.0,Female,
475,Don't know,,,,Yes,34.0,Male,
476,Yes,,,,No,57.0,Male,
477,No,,,,No,27.0,Male,
478,Don't know,,,,Yes,23.0,Male,
480,Don't know,,,,No,30.0,Female,
481,Don't know,,,,No,23.0,Male,
482,Yes,,,,No,43.0,Male,
484,Yes,,,,No,29.0,Male,
485,Don't know,,,,No,48.0,Male,
486,No,,,,No,43.0,Male,
487,Don't know,,,,No,28.0,Female,
488,No,,,,Yes,30.0,Male,
489,No,,,,No,26.0,Male,
490,No,,,,No,33.0,Male,
491,Yes,,,,No,31.0,Male,
492,Don't know,,,,No,30.0,Male,
493,No,,,,No,27.0,Male,
494,No,,,,Yes,24.0,Female,
495,Don't know,,,,No,25.0,Male,
496,Yes,,,,No,23.0,Female,
497,Yes,,,,No,36.0,Male,
498,Don't know,,,,Yes,25.0,Female,
499,No,,,,Yes,54.0,Male,
500,Don't know,,,,No,34.0,Male,
501,Yes,,,,No,38.0,Female,
502,No,,,,No,40.0,Male,
503,No,,,,No,32.0,Male,
504,Don't know,,,,No,25.0,Male,
505,No,,,,No,35.0,Female,
506,Yes,,,,No,46.0,Male,
507,Yes,,,,No,42.0,Male,
508,Yes,,,,Yes,32.0,Male,
509,Yes,,,,No,47.0,Male,
510,Yes,,,,No,22.0,Male,
511,Yes,,,,Yes,33.0,Female,
512,No,,,,No,25.0,Female,
513,Don't know,,,,No,29.0,Male,
514,Yes,,,,No,39.0,Male,
515,Yes,,,,No,38.0,Male,
516,Don't know,,,,Yes,43.0,Male,
517,Yes,,,,Yes,46.0,Male,
518,Yes,,,,No,38.0,Female,
519,Yes,,,,No,33.0,Male,
520,No,,,,No,34.0,Male,
521,Yes,,,,No,62.0,Male,
522,Don't know,,,,No,23.0,Female,
523,No,,,,No,35.0,Male,
524,Don't know,,,,Yes,25.0,Male,
525,Don't know,,,,Yes,36.0,Male,
526,Yes,,,,Yes,41.0,Female,
527,Yes,,,,No,24.0,Male,
528,No,,,,Yes,51.0,Male,
529,Yes,,,,No,29.0,Male,
530,Don't know,,,,Yes,31.0,Female,
531,No,,,,No,27.0,Male,
532,Yes,,,,No,31.0,Male,
533,No,,,,Yes,27.0,Female,
534,Don't know,,,,No,23.0,Male,
535,Don't know,,,,No,21.0,Male,
536,No,,,,No,27.0,Female,
537,Yes,,,,Yes,39.0,Male,
538,Don't know,,,,No,26.0,Male,
539,Don't know,,,,No,27.0,Male,
540,Yes,,,,No,22.0,Female,
541,Don't know,,,,No,26.0,Female,
542,Yes,,,,No,31.0,Female,
543,Don't know,,,,No,32.0,Male,
544,Yes,,,,Yes,28.0,Female,
545,No,,,,No,28.0,Others,
546,Don't know,,,,No,23.0,Female,
547,Don't know,,,,Yes,30.0,Male,
548,Yes,,,,No,36.0,Male,
549,Yes,,,,No,21.0,Male,
550,No,,,,No,30.0,Male,
551,Don't know,,,,No,25.0,Female,
552,No,,,,No,32.0,Male,
553,No,,,,No,29.0,Female,
554,No,,,,No,21.0,Others,
555,No,,,,Yes,27.0,Female,
556,Don't know,,,,No,32.0,Female,
557,Yes,,,,No,34.0,Male,
558,Don't know,,,,No,33.0,Male,
559,No,,,,Yes,22.0,Male,
560,Don't know,,,,No,24.0,Male,
561,No,,,,Yes,65.0,Male,
562,Don't know,,,,Yes,27.0,Male,
563,Don't know,,,,No,33.0,Male,
564,Don't know,,,,No,36.0,Male,
565,No,,,,No,40.0,Male,
566,Yes,,,,No,28.0,Male,
567,Yes,,,,No,39.0,Male,
568,Yes,,,,No,32.0,Male,
569,Yes,,,,No,31.0,Male,
570,Don't know,,,,No,38.0,Male,
571,No,,,,No,23.0,Male,
572,Yes,,,,No,42.0,Male,
573,Don't know,,,,No,27.0,Female,
574,Yes,,,,No,26.0,Female,
575,No,,,,Yes,50.0,Male,
576,Don't know,,,,No,37.0,Male,
577,Don't know,,,,No,23.0,Male,
578,Don't know,,,,Yes,33.0,Male,
579,Yes,,,,Yes,29.0,Male,
580,Yes,,,,Yes,34.0,Male,
581,Yes,,,,No,41.0,Male,
582,Don't know,,,,Yes,50.0,Male,
583,Yes,,,,No,29.0,Male,
584,No,,,,No,35.0,Male,
585,No,,,,Yes,27.0,Male,
586,Don't know,,,,No,40.0,Female,
587,No,,,,Yes,27.0,Male,
588,Yes,,,,No,29.0,Female,
589,No,,,,No,31.0,Male,
590,No,,,,No,43.0,Male,
591,Yes,,,,Yes,34.0,Male,
592,Don't know,,,,No,29.0,Male,
593,No,,,,No,19.0,Male,
594,Yes,,,,No,41.0,Male,
595,Yes,,,,No,29.0,Male,
596,Yes,,,,No,23.0,Male,
597,Yes,,,,No,24.0,Female,
598,Don't know,,,,Yes,31.0,Male,
599,Don't know,,,,Yes,43.0,Male,
600,No,,,,No,31.0,Male,
601,Yes,,,,No,29.0,Male,
602,No,,,,Yes,35.0,Male,
603,Yes,,,,No,33.0,Male,
604,No,,,,Yes,30.0,Female,
605,Yes,,,,No,27.0,Male,
606,No,,,,No,32.0,Male,
607,Don't know,,,,Yes,50.0,Male,
608,Don't know,,,,No,24.0,Male,
609,Don't know,,,,No,27.0,Male,
610,No,,,,Yes,27.0,Male,
611,No,,,,No,32.0,Male,
612,No,,,,Yes,42.0,Male,
613,Don't know,,,,No,37.0,Male,
614,Don't know,,,,No,30.0,Male,
615,Yes,,,,No,29.0,Male,
616,No,,,,Yes,30.0,Male,
617,Yes,,,,No,35.0,Male,
618,Yes,,,,Yes,35.0,Male,
619,No,,,,Yes,38.0,Male,
620,Yes,,,,No,22.0,Male,
621,Don't know,,,,No,24.0,Male,
622,Don't know,,,,No,22.0,Male,
623,Yes,,,,Yes,31.0,Female,
624,Yes,,,,No,23.0,Female,
625,Don't know,,,,No,31.0,Female,
626,Yes,,,,No,28.0,Female,
627,Yes,,,,No,37.0,Others,
628,No,,,,No,34.0,Male,
629,No,,,,Yes,32.0,Others,
630,Yes,,,,Yes,28.0,Male,
631,No,,,,No,24.0,Female,
632,Yes,,,,No,56.0,Male,
633,No,,,,Yes,31.0,Male,
634,Yes,,,,Yes,34.0,Female,
635,Don't know,,,,No,35.0,Male,
636,No,,,,No,28.0,Male,
637,No,,,,No,36.0,Male,
638,No,,,,No,30.0,Male,
639,Yes,,,,Yes,35.0,Male,
640,No,,,,Yes,49.0,Male,
641,Yes,,,,No,36.0,Male,
642,No,,,,No,35.0,Male,
643,Yes,,,,No,29.0,Female,
644,Yes,,,,No,57.0,Male,
645,Yes,,,,No,31.0,Female,
646,No,,,,No,37.0,Male,
647,No,,,,No,25.0,Male,
648,No,,,,No,30.0,Male,
649,No,,,,No,26.0,Female,
650,No,,,,No,22.0,Female,
651,Don't know,,,,Yes,39.0,Male,
652,Don't know,,,,No,29.0,Male,
653,Don't know,,,,Yes,54.0,Male,
654,Don't know,,,,No,34.0,Female,
655,Yes,,,,No,32.0,Male,
656,No,,,,No,25.0,Male,
657,No,,,,No,29.0,Male,
658,No,,,,Yes,32.0,Male,
659,Yes,,,,No,30.0,Male,
660,Don't know,,,,No,31.0,Male,
661,Yes,,,,No,20.0,Female,
662,Don't know,,,,No,27.0,Male,
663,Don't know,,,,No,32.0,Male,
664,No,,,,Yes,26.0,Male,
665,Don't know,,,,No,30.0,Male,
666,No,,,,Yes,30.0,Male,
667,Don't know,,,,Yes,22.0,Male,
668,Don't know,,,,No,24.0,Male,
669,No,,,,No,26.0,Male,
670,Don't know,,,,No,43.0,Male,
671,No,,,,No,26.0,Male,
672,Don't know,,,,No,23.0,Male,
673,Yes,,,,Yes,26.0,Male,
674,Don't know,,,,No,26.0,Female,
675,Don't know,,,,No,35.0,Male,
676,Don't know,,,,Yes,28.0,Male,
677,No,,,,No,22.0,Male,
678,Don't know,,,,No,29.0,Female,
679,No,,,,No,29.0,Male,
680,Yes,,,,Yes,45.0,Male,
681,No,,,,Yes,33.0,Male,
682,Yes,,,,No,38.0,Male,
683,Don't know,,,,No,19.0,Others,
684,Yes,,,,Yes,29.0,Female,
685,No,,,,No,21.0,Female,
686,Don't know,,,,No,23.0,Female,
687,Yes,,,,No,33.0,Female,
688,Yes,,,,No,49.0,Male,
689,Don't know,,,,Yes,28.0,Male,
690,Don't know,,,,Yes,27.0,Female,
691,Yes,,,,No,23.0,Male,
692,No,,,,Yes,29.0,Male,
693,Don't know,,,,No,30.0,Male,
694,Yes,,,,No,28.0,Female,
695,No,,,,No,32.0,Male,
696,Yes,,,,No,32.0,Male,
697,No,,,,No,37.0,Male,
698,No,,,,Yes,39.0,Female,
699,Don't know,,,,No,31.0,Male,
700,No,,,,No,29.0,Male,
701,Yes,,,,No,30.0,Male,
702,No,,,,Yes,33.0,Male,
703,Yes,,,,No,37.0,Male,
704,Yes,,,,No,23.0,Male,
705,Yes,,,,No,43.0,Male,
706,Don't know,,,,No,32.0,Male,
707,Don't know,,,,No,26.0,Male,
708,Don't know,,,,Yes,32.0,Male,
709,Don't know,,,,Yes,37.0,Female,
710,Yes,,,,No,29.0,Male,
711,No,,,,No,34.0,Male,
712,Don't know,,,,No,27.0,Male,
713,Don't know,,,,No,30.0,Male,
714,Yes,,,,No,29.0,Male,
715,Yes,,,,Yes,32.0,Male,
717,Yes,,,,No,25.0,Male,
718,Yes,,,,Yes,37.0,Male,
719,No,,,,No,29.0,Male,
720,Yes,,,,No,27.0,Male,
721,Don't know,,,,No,33.0,Male,
722,Don't know,,,,No,30.0,Male,
723,No,,,,Yes,29.0,Male,
724,Don't know,,,,Yes,25.0,Male,
725,No,,,,No,33.0,Male,
726,No,,,,Yes,31.0,Male,
727,Don't know,,,,Yes,21.0,Male,
728,Don't know,,,,No,30.0,Male,
729,Don't know,,,,No,29.0,Male,
730,No,,,,Yes,43.0,Male,
731,No,,,,No,37.0,Male,
